year,books_per_capita
1500,1.851916284171451e+16
1501,7849691394799348.0
1502,9552662483237392.0
1503,1.1421761228288828e+16
1504,1.5314647806974928e+16
1505,2.2210710390803908e+16
1506,5073824362926822.0
1507,1.821268311469739e+16
1508,8974182644002601.0
1509,2.168950725774658e+16
1510,7841124679171794.0
1511,1.3891297257814302e+16
1512,1.5265943573444476e+16
1513,1.1832621270293224e+16
1514,1.4520470436490084e+16
1515,1.613259068807698e+16
1516,1.7256500428083712e+16
1517,1.9932894459194824e+16
1518,7253180250270618.0
1519,7987679023385421.0
1520,1.8706393104677944e+16
1521,9802126622872928.0
1522,1.7453187677559562e+16
1523,4582543295387695.0
1524,1.0231945265077658e+16
1525,1.7974051443802216e+16
1526,1.785521335991356e+16
1527,1.4077465943246206e+16
1528,1.155400730207644e+16
1529,9521492960713604.0
1530,1.0695765001992332e+16
1531,2.090075346534351e+16
1532,1.912751403635507e+16
1533,1.468088592691074e+16
1534,1.226039397208415e+16
1535,1.729819105537999e+16
1536,1.8036960800784956e+16
1537,8290162441978148.0
1538,1.2693367763058e+16
1539,2.076793158993634e+16
1540,1.3015791004039486e+16
1541,1.4509320929107124e+16
1542,2.338467994578229e+16
1543,1.1343497676400038e+16
1544,1.5143659281505964e+16
1545,2.020700877526349e+16
1546,1.6883612297439886e+16
1547,2.041225575364023e+16
1548,1.769271046792064e+16
1549,1.425771964406252e+16
1550,1.849397020190301e+16
1551,1.4512352724413564e+16
1552,1.415428575504235e+16
1553,1.3232340640848436e+16
1554,2.1414759491832296e+16
1555,1.18442247552978e+16
1556,1.962609398724789e+16
1557,1.0682863233512702e+16
1558,1.36794260317797e+16
1559,1.032233995692626e+16
1560,1.128977435519508e+16
1561,1.4654182626356594e+16
1562,1.1807959239823822e+16
1563,2.493283750489777e+16
1564,2.321013555113672e+16
1565,1.1104145311888068e+16
1566,2.205715861010798e+16
1567,2.0837752186733164e+16
1568,1.1917155786478942e+16
1569,1.9991990763165136e+16
1570,1.5920570262216564e+16
1571,1.086966463122103e+16
1572,1.3163460328641488e+16
1573,1.975233173727491e+16
1574,1.938678992727213e+16
1575,1.4549896846360418e+16
1576,9156014564286984.0
1577,2.0213759985486572e+16
1578,1.5998145727002472e+16
1579,2.111200191868907e+16
1580,1.3287091600637656e+16
1581,2.1406437598374508e+16
1582,1.1147889438357844e+16
1583,1.0767647755639932e+16
1584,1.694673220322952e+16
1585,1.6618701622255942e+16
1586,7508880314245543.0
1587,1.4678537691262728e+16
1588,9841158625231722.0
1589,1.915431562527258e+16
1590,8586239541151172.0
1591,1.0180070955897042e+16
1592,1.0039020838980184e+16
1593,8445938248273207.0
1594,1.4924267833918574e+16
1595,1.8145223129185784e+16
1596,1.541377113249488e+16
1597,1.5257812224769744e+16
1598,9801946871822464.0
1599,1.4440338655014768e+16
1600,1.0169209244155698e+16
1601,1.2785724225110186e+16
1602,2.358110745119399e+16
1603,1.0723255430434414e+16
1604,2.0066549466199584e+16
1605,1.7333888018075506e+16
1606,1.5456311720898336e+16
1607,1.2497577054405262e+16
1608,9442211761401674.0
1609,1.2073904734852692e+16
1610,1.601575457036981e+16
1611,1.328436997138698e+16
1612,1.2836127988971066e+16
1613,2.033477548318213e+16
1614,1.1207598004069522e+16
1615,1.2029830140998256e+16
1616,1.1911705543873952e+16
1617,9437304553377972.0
1618,1.6716750308002236e+16
1619,1.0474190795819924e+16
1620,1.3037992248836678e+16
1621,1.2305357608344512e+16
1622,1.2629820730393146e+16
1623,1.1221378670053378e+16
1624,1.0150686292042916e+16
1625,8825227748992354.0
1626,1.1647778525129152e+16
1627,1.5277244739801134e+16
1628,1.262623646796379e+16
1629,1.3524520414466188e+16
1630,1.7931170534618156e+16
1631,1.1021410185495986e+16
1632,1.311351941475994e+16
1633,1.7448734344833642e+16
1634,1.2329058165784114e+16
1635,1.5341277036614186e+16
1636,1.697906371703673e+16
1637,1.7945951063492932e+16
1638,1.3963089397982956e+16
1639,1.5145904137256306e+16
1640,1.693915090329609e+16
1641,1.959073732602151e+16
1642,1.1702377269193472e+16
1643,1.252770187386798e+16
1644,1.262799276533248e+16
1645,1.5894924237035964e+16
1646,1.6440316362113094e+16
1647,1.2310138858614138e+16
1648,1.6615299365874176e+16
1649,1.4980812494517968e+16
1650,1.233127320537952e+16
1651,1.433561604613954e+16
1652,1.028561641750962e+16
1653,1.150412775548339e+16
1654,1.4183088136075108e+16
1655,2.1689071152733664e+16
1656,1.1827745734697816e+16
1657,1.0115953314515808e+16
1658,1.902339859258241e+16
1659,1.773831895740085e+16
1660,1.0184734352919508e+16
1661,1.534124765019871e+16
1662,1.0329602715034216e+16
1663,1.153826191776835e+16
1664,9516120524516072.0
1665,1.558090084953311e+16
1666,1.1200896566686306e+16
1667,1.3077091591061942e+16
1668,1.2946232965478356e+16
1669,1.2903595753188574e+16
1670,1.285577496506076e+16
1671,1.5747351842318978e+16
1672,1.3559137036986798e+16
1673,1.3117798315417036e+16
1674,1.496089725143311e+16
1675,1.2697073209169428e+16
1676,1.5691103587620776e+16
1677,1.533083141997741e+16
1678,1.3063699552786708e+16
1679,1.2198148502301632e+16
1680,1.3939767148533866e+16
1681,1.0225488408906396e+16
1682,1.5574374931617746e+16
1683,1.7021695693489662e+16
1684,1.1596056743335008e+16
1685,1.2682883205867022e+16
1686,1.4163071540712918e+16
1687,1.246143054089438e+16
1688,1.5025626795033962e+16
1689,2.418817094720888e+16
1690,1.5204185172007484e+16
1691,1.612873778786133e+16
1692,8906909369259249.0
1693,1.6672802814499904e+16
1694,1.1283288286539042e+16
1695,1.005150756269188e+16
1696,1.3432168966785054e+16
1697,1.1263184200533922e+16
1698,1.913957626081404e+16
1699,1.41402776147437e+16
1700,1.5568824165394138e+16
1701,8486448935008254.0
1702,1.1768118734813536e+16
1703,9385889277499464.0
1704,1.1054757276557474e+16
1705,1.2145715521451564e+16
1706,1.0055545431261958e+16
1707,9697931058587562.0
1708,1.0713346146223166e+16
1709,1.9996882959356416e+16
1710,9761484696881648.0
1711,1.4220072291677534e+16
1712,1.3495059086995302e+16
1713,1.4303921235763892e+16
1714,8198294991757229.0
1715,1.2191194243923042e+16
1716,1.0999236119783156e+16
1717,8972594960617531.0
1718,1.3297822703030434e+16
1719,1.4674948370466406e+16
1720,3809980506346926.0
1721,1.3018065534898024e+16
1722,1.1029354062604732e+16
1723,6472399724599685.0
1724,1.6682163175175226e+16
1725,9290041098202328.0
1726,7762709902250697.0
1727,1.2854580891909494e+16
1728,1.0769622280421414e+16
1729,9847213503955424.0
1730,8855736086506165.0
1731,1.0413861286328214e+16
1732,1.4003698514122718e+16
1733,1.4361647292286984e+16
1734,1.2729029243450808e+16
1735,7086588439659778.0
1736,1.3599508404501464e+16
1737,5656674154201107.0
1738,1.8891234600304132e+16
1739,1.298545917815962e+16
1740,9561361835607490.0
1741,1.061304048788033e+16
1742,1.3767140714506476e+16
1743,1.0060912410135048e+16
1744,9826680368801314.0
1745,1.3440480766451516e+16
1746,1.1057537393830062e+16
1747,1.338990876940407e+16
1748,8285312308122659.0
1749,9805718320237454.0
1750,9723149797500364.0
1751,7641978258723507.0
1752,6438480171033141.0
1753,6584900055278945.0
1754,9269815148390168.0
1755,1.1103827081458804e+16
1756,1.034359691273756e+16
1757,9453659425795286.0
1758,1.0652382270289672e+16
1759,1.1671766412129104e+16
1760,1.222410414123433e+16
1761,5318659390215116.0
1762,1.0547573596615326e+16
1763,9050474929378890.0
1764,1.2446810958642622e+16
1765,7839860610891959.0
1766,9779156396188564.0
1767,8854849640952279.0
1768,9076420106589280.0
1769,9196308455843896.0
1770,7648893429338027.0
1771,7669663899293179.0
1772,8051089830099404.0
1773,8505858461951972.0
1774,1.298675450620551e+16
1775,1.0057864859519922e+16
1776,1.1431306786367544e+16
1777,1.427452178748092e+16
1778,9103323987481598.0
1779,1.1737069588361606e+16
1780,1.1840346349006474e+16
1781,8928195702638482.0
1782,1.0888470172350574e+16
1783,8063873070604494.0
1784,8966260230166180.0
1785,1.0986820817989308e+16
1786,9247908588379482.0
1787,9196142944282794.0
1788,1.2014601807298516e+16
1789,1.066540862666012e+16
1790,8470576530209554.0
1791,7968454908590258.0
1792,8429383434157364.0
1793,7781402206260209.0
1794,1.2317541678674238e+16
1795,6527792371556522.0
1796,1.5246452079878734e+16
1797,1.0841547009372028e+16
1798,8343332384830741.0
1799,8426859841339252.0
1800,1.8375476026736068e+16
1801,1.0880342421858074e+16
1802,1.0882888955191954e+16
1803,1.0574786621045252e+16
1804,4133160376820721.5
1805,1.4349453645703552e+16
1806,1.413241374358488e+16
1807,1.130432859105095e+16
1808,1.1937826591720214e+16
1809,1.9388207864418228e+16
1810,1.6322905480213782e+16
1811,1.139852510085174e+16
1812,2.9386303366510316e+16
1813,1.2555044497461992e+16
1814,1.121116461529513e+16
1815,1.263815173906837e+16
1816,2.7889572731541416e+16
1817,1.2829676473725912e+16
1818,1.4283153371848368e+16
1819,1.158516834287558e+16
1820,1.4137488212412444e+16
1821,2.6376534185956624e+16
1822,1.1857083782027466e+16
1823,2.0813087565616132e+16
1824,1.2897071563071866e+16
1825,9281079965736138.0
1826,1.9682379981148984e+16
1827,3.346269637608447e+16
1828,1.9243516008477388e+16
1829,3.201850107082509e+16
1830,8038108984512064.0
1831,1.078146806287095e+16
1832,1.146746840848966e+16
1833,1.5319758022808758e+16
1834,1.0199258612428362e+16
1835,6107049157747677.0
1836,1.0412691533272154e+16
1837,1.4998109027883034e+16
1838,9182011082103884.0
1839,5771143647042123.0
1840,1.0425754997511848e+16
1841,7119593328347512.0
1842,1.092519065882906e+16
1843,1.1445165224958578e+16
1844,1.7848961218435472e+16
1845,9429157541792842.0
1846,7425466728014029.0
1847,8932492060024970.0
1848,1.2287082529279034e+16
1849,1.0839341461595288e+16
1850,8757405478908345.0
1851,1.252717144221854e+16
1852,1.265699773370634e+16
1853,9404479038244374.0
1854,8152590686474518.0
1855,7742676066099659.0
1856,8962426212740738.0
1857,1.2171552203089748e+16
1858,1.2545908311292836e+16
1859,1.1425810432154192e+16
1860,1.0020613667226616e+16
1861,1.449228177052494e+16
1862,1.3910112956475628e+16
1863,9948799200958906.0
1864,1.1381545122548606e+16
1865,1.4003334169868988e+16
1866,1.3864923445920354e+16
1867,1.5269646358257104e+16
1868,1.5933229112209372e+16
1869,5186937857629657.0
1870,1.1085344359012076e+16
1871,1.5648068855287446e+16
1872,1.0625875357282438e+16
1873,1.0859776959691274e+16
1874,1.1085750807932618e+16
1875,4592221790722709.0
1876,9659538938571474.0
1877,1.2804789091136114e+16
1878,1.0314908398304442e+16
1879,1.2701966768874072e+16
1880,1.4098672337104176e+16
1881,1.2184040243942686e+16
1882,1.820245704814365e+16
1883,2.056091543861614e+16
1884,4245986509965687.5
1885,1.47976084188736e+16
1886,1.3031195495461242e+16
1887,2.3203341772626348e+16
1888,2.390924441155338e+16
1889,1.3411738241252054e+16
1890,1.0719802386890638e+16
1891,1.334611770377557e+16
1892,2660899118408830.5
1893,2.5676413529035744e+16
1894,2.204948899350586e+16
1895,1.4306159183682454e+16
1896,1.7678712799317618e+16
1897,2.0464564136172788e+16
1898,1.3226897680370502e+16
1899,9743488728855748.0
1900,1.6651069650113578e+16
1901,7537957795031019.0
1902,6202775210048179.0
1903,1.2717123968985266e+16
1904,1.365103351251649e+16
1905,1.1430309470243962e+16
1906,1.4650119157122682e+16
1907,7869048099884241.0
1908,8424563304818497.0
1909,2.1963088515052668e+16
1910,2838198296525633.5
1911,1.6978512969073136e+16
1912,1.1447463312423322e+16
1913,2.306321450615679e+16
1914,1.2099323788476036e+16
1915,1.4775889928787592e+16
1916,1.1248123958114792e+16
1917,2.189281462949871e+16
1918,1.1668532449798602e+16
1919,8883650561360273.0
1920,5694794218832248.0
1921,9291820758369876.0
1922,9842778810032314.0
1923,7207598243204050.0
1924,8823546879641957.0
1925,1.7959388685938846e+16
1926,1.421242556994891e+16
1927,1.0949362689048808e+16
1928,1.3114036336169102e+16
1929,1.7813284990018118e+16
1930,1.24056655429385e+16
1931,1.8257203170218124e+16
1932,1.337107564144957e+16
1933,1.2799107990220236e+16
1934,7632155378438575.0
1935,1.053947096067092e+16
1936,9668234643102100.0
1937,1.2833577246106624e+16
1938,9049711066437364.0
1939,1.6820594238990872e+16
1940,1.633399270812025e+16
1941,1.2588428243403734e+16
1942,1.0702874688928776e+16
1943,1.3508825511024818e+16
1944,1.0479988226896724e+16
1945,1.0581278815577806e+16
1946,1.324014307922318e+16
1947,1.3058015732517318e+16
1948,7970052249068208.0
1949,1.2556536459122992e+16
1950,1.2557944301072072e+16
1951,1.3557267792113442e+16
1952,1.4710604805073794e+16
1953,1.3126575121774172e+16
1954,1.2545638547433994e+16
1955,1.538318728715017e+16
1956,1.3877954361308724e+16
1957,1.2361516154565422e+16
1958,1.3550218243331888e+16
1959,1.1628616398233298e+16
1960,1.0334894137461056e+16
1961,1.1961735144234328e+16
1962,1.0901241478031474e+16
1963,1.0642012754233144e+16
1964,1.5506448275597374e+16
1965,1.6059747358021142e+16
1966,1.3315925555442058e+16
1967,1.1422252392952848e+16
1968,1.4128229462111966e+16
1969,9755885815167954.0
1970,1.558156534424308e+16
1971,1.3579895060389798e+16
1972,1.212674027099491e+16
1973,1.2989767547504384e+16
1974,1.1374628914128612e+16
1975,1.5160412087595962e+16
1976,1.2869620443963014e+16
1977,1.2721583251191724e+16
1978,1.248026498157329e+16
1979,1.3683030216790562e+16
1980,1.4086573600817612e+16
1981,1.2526562307403248e+16
1982,1.1245428535884348e+16
1983,1.195773386343027e+16
1984,9817306484779156.0
1985,1.05025440930694e+16
1986,1.2102806610759368e+16
1987,1.2443491150303666e+16
1988,1.3133989973782188e+16
1989,9332371997214082.0
1990,1.2232871977404996e+16
1991,1.0346494315817848e+16
1992,1.1687504830417486e+16
1993,1.1700777775471642e+16
1994,1.1205218953626932e+16
1995,9504969011632790.0
1996,1.0769833120702592e+16
1997,1.3162098487022358e+16
1998,1.2049117495410034e+16
1999,1.3156248144231154e+16
2000,1.4109990352518228e+16
2001,1.7984325212343934e+16
2002,1.4087476779563814e+16
2003,1.6862152580698086e+16
2004,1.3088940354637812e+16
2005,4473086618715172.5
2006,1.5322450309549204e+16
2007,1.852133673025259e+16
2008,1.4399954756982094e+16
2009,1.502889671027984e+16
